"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
474,Understanding  Spatial  Homophily:  The  Case of  Peer  Influence and  Social  Selection,"Zhang, Ke and Pelechrinis, Konstantinos",REJECTED,UNCLASSIFIED,2014,23rd  International  Conference on  World  Wide  Web,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
475,Understanding geographic attentions of crowd from photographing information,"Kubo, Y. and Kubo, M. and Sato, H. and Hirano, M. and Namatame, A.",REJECTED,UNCLASSIFIED,2013,Journal of Advanced Computational Intelligence and Intelligent Informatics,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
476,"Understanding wireless network coverage, connectivity, and locations using opportunistic sensing for a WiFi advisory system","Wu, F.-J. & Lin, W.-C.",REJECTED,UNCLASSIFIED,2015,"IEEE Tenth International Conference on Intelligent Sensors, Sensor Networks and Information Processing ",(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
477,Unite research with what citizens do for fun: recreational monitoring of marine biodiversity,"Goffredo, Stefano and Pensa, Francesco and Neri, Patrizia and Orlandi,Antonio and Gagliardi, Maria Scola and Velardi, Angela and Piccinetti,Corrado and Zaccanti, Francesco",REJECTED,UNCLASSIFIED,2010,Ecological applications,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
478,Updating digital elevation models via change detection and fusion of human and remote sensor data in urban environments,"Klonner, C. and Barron, C. and Neis, P. and Hofle, B.",REJECTED,UNCLASSIFIED,2015,International Journal of Digital Earth,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
479,Usability of Geographic Information: Current challenges and future directions,"Brown, M.a  b  and Sharples, S.b  and Harding, J.c  and Parker, C.J.d  and Bearman, N.e  and Maguire, M.d  and Forrest, D.f  and Haklay, M.g  and Jackson, M.h ",REJECTED,UNCLASSIFIED,2013,Applied Ergonomics,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
480,User-centred design of neogeography: the impact of volunteered geographic information on users' perceptions of online map 'mashups',"Parker, C.J. and May, A. and Mitchell, V.",REJECTED,UNCLASSIFIED,2014,Ergonomics,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
481,Using  Crowdsourced  Geographic  Information from  OpenStreetMap for  Discrete  Event  Simulation of  Logistic  Systems,"Meyer, Torben and Trojahn, Matthias and Strassburger, Steffen",REJECTED,UNCLASSIFIED,2013,46th  Annual  Simulation  Symposium,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
482,"Using  Social  Media for  Collaborative  Species  Identification and  Occurrence:  Issues,  Methods, and  Tools","Deng, Dong-Po and Chuang, Tyng-Ruey and Shao, Kwang-Tsao and Mai, Guan-Shuo and Lin, Te-En and Lemmens, Rob and Hsu, Cheng-Hsin and Lin, Hsu-Hong and Kraak, Menno-Jan",REJECTED,UNCLASSIFIED,2012,1st  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
483,Using  Social  Media to  Find  Places of  Interest:  A  Case  Study,"Van Canneyt, Steven and Van Laere, Olivier and Schockaert, Steven and Dhoedt, Bart",REJECTED,UNCLASSIFIED,2012,1st  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
484,Using Digital Footprints for a City-Scale Traffic Simulation,"McArdle, Gavin and Furey, Eoghan and Lawlor, Aonghus and Pozdnoukhov,Alexei",REJECTED,UNCLASSIFIED,2014,ACM Transactions on Intelligent Systems and Technology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
