"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
123,Automatic identification of locative expressions from social media text: A comparative analysis,"Liu, F.a  and Vasardani, M.b  and Baldwin, T.a ",REJECTED,UNCLASSIFIED,2014,"International Conference on Information and Knowledge Management, Proceedings","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
124,Automatic Tag Generation and Ranking for Sensor-rich Outdoor Videos,"Shen, Zhijie and Arslan Ay, Sakire and Kim, Seon Ho and Zimmermann, Roger",REJECTED,UNCLASSIFIED,2011,19th  ACM  International  Conference on  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
125,Availability and uses of spatial databases for research and managementof K'gari-Fraser Island,"Srivastava, Sanjeev Kumar",REJECTED,UNCLASSIFIED,2015,Australasian Journal of Environmental Management,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
126,Avoiding the South Side and the Suburbs: The Geography of Mobile Crowdsourcing Markets,"Thebault-Spieker, Jacob and Terveen, Loren G. and Hecht, Brent",REJECTED,UNCLASSIFIED,2015,18th  ACM  Conference on  Computer  Supported  Cooperative  Work and  Social  Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
127,Barriers to the Localness of Volunteered Geographic Information,"Sen, Shilad W. and Ford, Heather and Musicant, David R. and Graham, Mark and Keyes, Oliver S.B. and Hecht, Brent",REJECTED,UNCLASSIFIED,2015,33rd Annual ACM Conference on Human Factors in Computing Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
128,Beware of What You Share: Inferring Home Location in Social Networks,"Pontes, Tatiana and Magno, Gabriel and Vasconcelos, Marisa and Gupta,Aditi and Almeida, Jussara and Kumaraguru, Ponnurangam and Almeida,Virgilio",REJECTED,UNCLASSIFIED,2012,12th International Conference on Data Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
129,Bicycle route planners promoting sustainable commuting,"Christensen, T.W. and Kristensen, J.P.",REJECTED,UNCLASSIFIED,2011,18th World Congress on Intelligent Transport Systems and ITS America Annual Meeting ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
130,Big Data Opportunities for Global Infectious Disease Surveillance,"Hay, S.I.a  b  and George, D.B.b  and Moyes, C.L.a  and Brownstein, J.S.c ",REJECTED,UNCLASSIFIED,2013,PLoS Medicine,(E6) the primary study is incomplete; ,,,,,,
131,Birding 2.0: Citizen Science and Effective Monitoring in the Web 2.0World,"Wiersma, Yolanda F.",REJECTED,UNCLASSIFIED,2010,Avian Conservation and Ecology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
132,Bony Deviations Revealed by Cone Beam Computed Tomography of theTemporomandibular Joint in Subjects Without Ongoing Pain,"Bakke, Merete and Petersson, Arne and Wiese, Mie and Svanholt, Palle andSonnesen, Liselotte",REJECTED,UNCLASSIFIED,2014,Journal of Oral & Facial Pain and Headache,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
133,Building a hybrid land cover map with crowdsourcing and geographicallyweighted regression,"See, Linda and Schepaschenko, Dmitry and Lesiv, Myroslava and McCallum,Ian and Fritz, Steffen and Comber, Alexis and Perger, Christoph andSchill, Christian and Zhao, Yuanyuan and Maus, Victor and Siraj,Muhammad Athar and Albrecht, Franziska and Cipriani, Anna and Vakolyuk,Mar'yana and Garcia, Alfredo and Rabia, Ahmed H. and Singha, Kuleswarand Marcarini, Abel Alan and Kattenborn, Teja and Hazarika, Rubul andSchepaschenko, Maria and van der Velde, Marijn and Kraxner, Florian andObersteiner, Michael",REJECTED,UNCLASSIFIED,2015,ISPRS Journal of Photogrammetry and Remote Sensing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
134,Building Representative Composite Items,"Leroy, Vincent and Amer-Yahia, Sihem and Gaussier, Eric and Mirisaee, Hamid",REJECTED,UNCLASSIFIED,2015,24th ACM International on Conference on Information and Knowledge Management,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
135,Calibration of a spatial simulation model with volunteered geographical information,"Birkin, M.a  and Malleson, N.a  and Hudson-Smith, A.b  and Gray, S.b  and Milton, R.b ",REJECTED,UNCLASSIFIED,2011,International Journal of Geographical Information Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
136,Camera  Brand  Congruence in the  Flickr  Social  Graph,"Singla, Adish and Weber, Ingmar",REJECTED,UNCLASSIFIED,2009,2nd  ACM  International  Conference on  Web  Search and  Data  Mining,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
137,Canary in a  Coal  Mine:  Monitoring  Air  Quality and  Detecting  Environmental  Incidents by  Harvesting  Twitter,"Smid, Henricus and Mast, Patrick and Tromp, Maarten and Winterboer, Andi and Evers, Vanessa",REJECTED,UNCLASSIFIED,2011, CHI '11  Extended  Abstracts on  Human  Factors in  Computing  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
138,CGM: A biomedical text categorization approach using concept graph mining,"Bleik, S.; Song, M.; Smalter, A.; Huan, J. & Lushington, G",REJECTED,UNCLASSIFIED,2009,IEEE International Conference on Bioinformatics and Biomedicine Workshop,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
139,Challenges of image-based crowd-sourcing for situation awareness in disaster management,"Moreau, G.a  and Servieres, M.b  and Normand, J.-M.b  and Magnin, M.b ",REJECTED,UNCLASSIFIED,2014,NATO Science for Peace and Security Series C: Environmental Security,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
140,Citizen Generated Spatial Data And Information: Risks And Opportunities,"Mooney, Peter and Corcoran, Padraig and Sun, Huabo and Yan, Lei",REJECTED,UNCLASSIFIED,2012, International Conference on Industrial Control and Electronics Engineering,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
141,Citizen science in support of remote sensing research,"Foody, G. M.",REJECTED,UNCLASSIFIED,2015,IEEE International Geoscience and Remote Sensing Symposium,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
142,City-scale traffic simulation from digital footprints,"McArdle, G. and Lawlor, A. and Furey, E. and Pozdnoukhov, A.",REJECTED,UNCLASSIFIED,2012,ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
143,Collaboration in risk markets,"Rummler, S.",REJECTED,UNCLASSIFIED,2009,Collaborative Technologies and Applications for Interactive Information Design: Emerging Trends in User Experiences,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
144,Collaborative  Geospatial  Feature  Search,"Lamprianidis, George and Pfoser, Dieter",REJECTED,UNCLASSIFIED,2012,20th  International  Conference on  Advances in  Geographic  Information  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
145,Collaborative bike sensing for automatic geographic enrichment: Geoannotation of road/terrain type by multimodal bike sensing,"Verstockt, S.a  and Slavkovikj, V.b  and De Potter, P.c  and Van De Walle, R.d ",REJECTED,UNCLASSIFIED,2014,IEEE Signal Processing Magazine,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
146,Collaborative mapping for pedestrian navigation in security applications,"Garcia Puyol, M. and Frassl, M. and Robertson, P.",REJECTED,UNCLASSIFIED,2012,Communications in Computer and Information Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
147,Collaborative mapping with autonomous underwater vehicles in low-bandwidth conditions,"Johnson, B. and Hallin, N. and Leidenfrost, H. and O'Rourke, M. and Edwards, D.",REJECTED,UNCLASSIFIED,2009,IEEE Bremen: Balancing Technology with Future Needs,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
148,Collaborative observations of weather: A weather information sharers' community of practice,"Elevant, K.",REJECTED,UNCLASSIFIED,2010, 6th International Conference on Web Information Systems and Technology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
149,Collaborative Recommendation of Photo-Taking Geolocations,"Phan, Thomas and Zhou, Jiayu and Chang, Shiyu and Hu, Junling and Lee, Juhan",REJECTED,UNCLASSIFIED,2014,3rd  ACM  Multimedia  Workshop on  Geotagging and  Its  Applications in  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
150,Collaborative Situational Mapping During Emergency Response,"Gunawan, Lucy T. and Oomes, Augustinus H. J. and Neerincx, Mark and Brinkman, Willem-Paul and Alers, Hani",REJECTED,UNCLASSIFIED,2009,European  Conference on  Cognitive  Ergonomics:  Designing  Beyond the  Product  Understanding  Activity and  User  Experience in  Ubiquitous  Environments,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
151,Combination of spatio-temporal correction methods using traffic survey data for reconstruction of people flow ,Yoshihide Sekimoto and Atsuto Watanabe and Toshikazu Nakamura and Hiroshi Kanasugi and Tomotaka Usui,REJECTED,UNCLASSIFIED,2013,Pervasive and Mobile Computing ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
152,Combining structured and unstructured information sources for a study of data quality: A case study of Zillow.com,"Gelman, I.A.a  and Wu, N.b ",REJECTED,UNCLASSIFIED,2011, Hawaii International Conference on System Sciences,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
153,Community Worker Perspectives on the Use of New Media to ReconfigureSocio-spatial Relations in Belfast,"Reilly, Paul",REJECTED,UNCLASSIFIED,2012,Urban Studies,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
154,Comparing supervised and unsupervised multiresolution segmentationapproaches for extracting buildings from very high resolution imagery,"Belgiu, Mariana and Dragut, Lucian",REJECTED,UNCLASSIFIED,2014,ISPRS Journal of Photogrammetry and Remote Sensing,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
155,Comparing the Spatial Characteristics of Corresponding Cyber and Physical Communities: A Case Study,"Lu, Xu and Croitoru, Arie and Radzikowski, Jacek and Crooks, Andrew and Stefanidis, Anthony",REJECTED,UNCLASSIFIED,2013,6th  ACM  SIGSPATIAL  International  Workshop on  Location- Based  Social  Networks,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
156,Compass Clustering: A New Clustering Method for Detection of Points of Interest Using Personal Collections of Georeferenced and Oriented Photographs,"Lacerda, Yuri Almeida and Feitosa, Robson Goncalves Fechine and Esmeraldo, Guilherme Alvaro Rodrigues Maia and Baptista, Claudio de Souza and Marinho, Leandro Balby",REJECTED,UNCLASSIFIED,2012,Proceedings of the 18th  Brazilian  Symposium on  Multimedia and the  Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
157,Conceptualization of  Place via  Spatial  Clustering and  Co-occurrence  Analysis,"Deng, Dong-Po and Chuang, Tyng-Ruey and Lemmens, Rob",REJECTED,UNCLASSIFIED,2009, International  Workshop on  Location  Based  Social  Networks,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
158,Constructing  Narratives  Using  Fast  Feedback,"Lin, Yi-Ling and Bai, Xiaoning and Ye, Yuanyuan and Real, William",REJECTED,UNCLASSIFIED,2012, 2012 iConference,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
159,Constructing  Places from  Spatial  Footprints,"Li, Linna and Goodchild, Michael F.",REJECTED,UNCLASSIFIED,2012,1st  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
160,Constructing  Popular  Routes from  Uncertain  Trajectories,"Wei, Ling-Yin and Zheng, Yu and Peng, Wen-Chih",REJECTED,UNCLASSIFIED,2012,18th  ACM  SIGKDD  International  Conference on  Knowledge  Discovery and  Data  Mining,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
161,Content-Based Video Quality Prediction for HEVC Encoded Videos StreamedOver Packet Networks,"Anegekuh, Louis and Sun, Lingfen and Jammeh, Emmanuel and Mkwawa,Is-Haka and Ifeachor, Emmanuel",REJECTED,UNCLASSIFIED,2015,IEEE Transactions on Multimedia,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
162,Creating  Test  Collections from  User  Generated  Content for  GIR  Evaluation,"Palacio, Damien and Derungs, Curdin and Purves, Ross",REJECTED,UNCLASSIFIED,2013,7th  Workshop on  Geographic  Information  Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
163,Crowd sensing of urban emergency events based on social media big data,"Xu, Z. and Zhang, H. and Liu, Y. and Mei, L.",REJECTED,UNCLASSIFIED,2015,"13th International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2014","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
164,CrowdAtlas: Self-updating Maps for Cloud and Personal Use,"Wang, Yin and Liu, Xuemei and Wei, Hong and Forman, George and Chen, Chao and Zhu, Yanmin",REJECTED,UNCLASSIFIED,2013,"11th  Annual  International  Conference on  Mobile  Systems,  Applications, and  Services","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
165,Crowdsourced mapping of land use in urban dense environments: Anassessment of Toronto,"Vaz, Eric and Arsanjani, Jamal Jokar",REJECTED,UNCLASSIFIED,2015,Canadian Geographer-Geographe Canadian,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
166,Crowdsourcing  As  Data  Sharing:  A  Regional  Web-based  Real  Estate  Development  Database,"Goodspeed, Robert and Spanring, Christian and Reardon, Timothy",REJECTED,UNCLASSIFIED,2012,6th  International  Conference on  Theory and  Practice of  Electronic  Governance,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
167,Crowdsourcing  Graphical  Perception:  Using  Mechanical  Turk to  Assess  Visualization  Design,"Heer, Jeffrey and Bostock, Michael",REJECTED,UNCLASSIFIED,2010,Conference on  Human  Factors in  Computing  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
168,Crowd-sourcing satellite image analysis,"Christophe, E.; Inglada, J. & Maudlin, J.",REJECTED,UNCLASSIFIED,2010,IEEE International Geoscience and Remote Sensing Symposium,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
169,Crowdsourcing satellite imagery analysis: Study of parallel and iterative models,"Maisonneuve, N. and Chopard, B.",REJECTED,UNCLASSIFIED,2012,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
170,Crowdsourcing the unknown: The satellite search for Genghis Khan,"Lin, A.Y.-M.a  and Huynh, A.b  and Lanckriet, G.c  and Barrington, L.c  d ",REJECTED,UNCLASSIFIED,2014,PLoS ONE,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
171,Crowd-sourcing world models with OpenRoomMap,"Rice, A.C. and Woodman, O.J.",REJECTED,UNCLASSIFIED,2010, 8th IEEE International Conference on Pervasive Computing and Communications Workshops,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
172,"Crowdsourcing, citizen sensing and sensor web technologies for publicand environmental health surveillance and crisis management: trends, OGCstandards and application examples","Boulos, Maged N. Kamel and Resch, Bernd and Crowley, David N. andBreslin, John G. and Sohn, Gunho and Burtner, Russ and Pike, William A.and Jezierski, Eduardo and Chuang, Kuo-Yu Slayer",REJECTED,UNCLASSIFIED,2011,International Journal of Heath Geographics,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
173,Database updating through user feedback in fingerprint-based Wi-Fi location systems,"Gallagher, T.; Li, B.; Dempster, A. & Rizos, C.",REJECTED,UNCLASSIFIED,2010,Ubiquitous Positioning Indoor Navigation and Location Based Service,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
174,Data-driven vs semantic-technology-driven tag-based video location estimation,"Choi, J.a  and Friedland, G.b ",REJECTED,UNCLASSIFIED,2011,5th IEEE International Conference on Semantic Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
175,Deconstructing the binaries of spatial data production: Towardshybridity,"Cinnamon, Jonathan",REJECTED,UNCLASSIFIED,2015,Canadian Geographer-Geographe Canadian,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
176,Describing and Understanding Neighborhood Characteristics Through Online Social Media,"Kafsi, Mohamed and Cramer, Henriette and Thomee, Bart and Shamma, David A.",REJECTED,UNCLASSIFIED,2015,24th International Conference on World Wide Web,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
177,Designing  Better  Location  Fields in  User  Profiles,"Wang, Ting-Yu and Harper, F. Maxwell and Hecht, Brent",REJECTED,UNCLASSIFIED,2014,Proceedings of the 18th  International  Conference on  Supporting  Group  Work,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
178,Detecting  Places of  Interest  Using  Social  Media,"Van Canneyt, Steven and Schockaert, Steven and Van Laere, Olivier and Dhoedt, Bart",REJECTED,UNCLASSIFIED,2012,International  Joint  Conferences on  Web  Intelligence and  Intelligent  Agent  Technology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
179,Detecting Spatio-temporal Outliers in Crowdsourced Bathymetry Data,"Sedaghat, Leela and Hersey, John and McGuire, Michael P.",REJECTED,UNCLASSIFIED,2013,2nd  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
180,"Detection,  Classification and  Visualization of  Place-triggered  Geotagged  Tweets","Hiruta, Shinya and Yonezawa, Takuro and Jurmu, Marko and Tokuda, Hideyuki",REJECTED,UNCLASSIFIED,2012, ACM  Conference on  Ubiquitous  Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
181,Development and implementation of a validation protocol for crisis maps: Reliability and consistency assessment of burnt area maps,"Corbane, C. and Carrion, D. and Broglia, M.",REJECTED,UNCLASSIFIED,2011,International Journal of Digital Earth,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
182,Device-to-identity Linking Attack Using Targeted Wi-fi Geolocation Spoofing,"Matte, C 'elestin and Achara, Jagdish Prasad and Cunche, Mathieu",REJECTED,UNCLASSIFIED,2015,8th ACM Conference on Security & Privacy in Wireless and Mobile Networks,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
183,Digital Earth's Nervous System for crisis events: real-time Sensor WebEnablement of Volunteered Geographic Information,"De Longueville, Bertrand and Annoni, Alessandro and Schade, Sven andOstlaender, Nicole and Whitmore, Ceri",REJECTED,UNCLASSIFIED,2010,International Journal of Digital Earth,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
184,Digital maps for railway applications based on OpenStreetMap data,"Rahmig, C. & Kluge, A.",REJECTED,UNCLASSIFIED,2013,16th International IEEE Conference on Intelligent Transportation Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
185,Discovering  Popular  Point of  Interests for  Tourism with  Appropriate  Names from  Social  Data  Analysis,"Arakawa, Yutaka",REJECTED,UNCLASSIFIED,2014,International  Workshop on  Web  Intelligence and  Smart  Sensing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
186,Discovering geographical topics in the Twitter stream,"Hong, L.a  and Ahmed, A.b  and Gurumurthy, S.c  and Smola, A.b  and Tsioutsiouliklis, K.c ",REJECTED,UNCLASSIFIED,2012,21st Annual Conference on World Wide Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
187,Discovery of  User  Behavior  Patterns from  Geo-tagged  Micro-blogs,"Fujisaka, Tatsuya and Lee, Ryong and Sumiya, Kazutoshi",REJECTED,UNCLASSIFIED,2010,4th  International  Conference on  Uniquitous  Information  Management and  Communication,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
188,"Duking it out at the smartphone mobile app mapping API corral: Apple, Google, and the competition","Samet, H. and Fruin, B.C. and Nutanong, S.",REJECTED,UNCLASSIFIED,2012,1st ACM SIGSPATIAL Int. Workshop on Mobile Geographic Information Systems with the 20th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
189,Dynamic  Location  Models,"Murdock, Vanessa",REJECTED,UNCLASSIFIED,2014,37th  International  ACM  SIGIR  Conference on  Research and Development in  Information  Retrieval,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
190,Dynamical  Classes of  Collective  Attention in  Twitter,"Lehmann, Janette and Goncalves, Bruno and Ramasco, Jose J. and Cattuto, Ciro",REJECTED,UNCLASSIFIED,2012,21st  International  Conference on  World  Wide  Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
191,Effective use of information technology in spill response - How an integrated web portal can facilitate the response effort,"Kerr, J. and Braisted, R. and Sukkurwala, G. and Teeling, M.",REJECTED,UNCLASSIFIED,2014,Society of Petroleum Engineers Western North America and Rocky Mountain Joint Conference and Exhibition 2014,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
192,Efficient integration of spectral features for vehicle tracking utilizing an adaptive sensor,"Uzkent, B. and Hoffman, M.J. and Vodacek, A.",REJECTED,UNCLASSIFIED,2015, International Society for Optical Engineering,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
193,Embedding multi-order spatial clues for scalable visual matching and retrieval,"Zhang, S.a  and Tian, Q.a  and Huang, Q.b  and Rui, Y.c ",REJECTED,UNCLASSIFIED,2014,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
194,Encouraging  Civic  Participation  Through  Local  News  Aggregation,"Kavanaugh, Andrea and Ahuja, Ankit and Perez-Quinones, Manuel and Tedesco, John and Madondo, Kumbirai",REJECTED,UNCLASSIFIED,2013,14th  Annual  International  Conference on  Digital  Government  Research,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
195,Enhancing  Semantic and  Geographic  Annotation of  Web  Images via  Logistic  Canonical  Correlation  Regression,"Cao, Liangliang and Yu, Jie and Luo, Jiebo and Huang, Thomas S.",REJECTED,UNCLASSIFIED,2009,17th  ACM  International  Conference on  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
196,Enhancing cadastral surveys by facilitating the participation of owners,"Mourafetis, G. and Apostolopoulos, K. and Potsiou, C. and Ioannidis, C.",REJECTED,UNCLASSIFIED,2015,Survey Review,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
197,Enhancing driver situational awareness through crowd intelligence ,Bratislav Predic and Dragan Stojanovic,REJECTED,UNCLASSIFIED,2015,Expert Systems with Applications ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
198,Estimation of Building Types on OpenStreetMap Based on Urban MorphologyAnalysis,"Fan, Hongchao and Zipf, Alexander and Fu, Qing",REJECTED,UNCLASSIFIED,2014,Connecting a Digital Europe through Location and Place,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
199,Estimation of locations of densely distributed subjects using NMF with nonpixel information,"Kubo, Y. and Kubo, M. and Sato, H. and Namatame, A.",REJECTED,UNCLASSIFIED,2014,Journal of Advanced Computational Intelligence and Intelligent Informatics,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
200,Ethics and privacy issues in the use of GIS,"Blatt, A.J.",REJECTED,UNCLASSIFIED,2012,Journal of Map and Geography Libraries,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
201,Evaluating a concept design of a crowd-sourced 'mashup' providing ease-of-access information for people with limited mobility,"May, A.a  and Parker, C.J.a  c  and Taylor, N.b  and Ross, T.a ",REJECTED,UNCLASSIFIED,2014,Transportation Research Part C: Emerging Technologies,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
202,Evaluating geo-located Twitter data as a control layer for arealinterpolation of population,"Lin, Jie and Cromley, Robert G.",REJECTED,UNCLASSIFIED,2015,Applied Geography,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
203,Evaluation for cost-effective cache deployment in ISP networks,"Shibuya, M.; Hei, Y. & Ogishi, T.",REJECTED,UNCLASSIFIED,2012,IEEE International Workshop Technical Committee on Communications Quality and Reliability,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
204,Evaluation of GPS trajectories on VGI and social websites,"Huang, R.a  and Huang, C.a  and Shan, J.a  b  and Xiong, L.a  and Yan, J.a ",REJECTED,UNCLASSIFIED,2013,International Conference on Geoinformatics,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
205,Evaluation of the quality of an online geocoding resource in the contextof a large Brazilian city,"Davis, Jr., Clodoveu A. and de Alencar, Rafael Odon",REJECTED,UNCLASSIFIED,2011,Transactions in GIS ,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
206,Event Identification from Georeferenced Images,"Sun, Yeran and Fan, Hongchao",REJECTED,UNCLASSIFIED,2014,Connecting a Digital Europe through Location and Place,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
207,Expertise in the Wired Wild West,"White, Joanne I. and Palen, Leysia",REJECTED,UNCLASSIFIED,2015,18th ACM Conference on Computer Supported Cooperative Work and Social Computing,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
208,Exploiting  Geo-tagged  Tweets to  Understand  Localized  Language  Diversity,"Magdy, Amr and Ghanem, Thanaa M. and Musleh, Mashaal and Mokbel, Mohamed F.",REJECTED,UNCLASSIFIED,2007,Workshop on  Managing and  Mining  Enriched  Geo- Spatial  Data,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
209,Exploiting Foursquare and Cellular Data to Infer User Activity in Urban Environments,"Noulas, Anastasios and Mascolo, Cecilia and Frias-Martinez, Enrique",REJECTED,UNCLASSIFIED,2013,14th  International  Conference on  Mobile  Data  Management,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
210,Exploiting Geo-Spatial Preference for Personalized Expert Recommendation,"Lu, Haokai and Caverlee, James",REJECTED,UNCLASSIFIED,2015,9th ACM Conference on Recommender Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
211,Explorative Public Transport Flow Analysis from Uncertain Social Media Data,"Steiger, Enrico and Ellersiek, Timothy and Zipf, Alexander",REJECTED,UNCLASSIFIED,2014,3rd  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
212,Exploratory analysis of OpenStreetMap for land use classification,"Estima, J. and Painho, M.",REJECTED,UNCLASSIFIED,2013,2nd ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
